Frage,Antwort
"Wann sollte ich Grün wählen?","Wähle Grün, wenn du in dieser Woche weniger als 70% ausgelastet bist und problemlos neue Aufgaben oder Projekte übernehmen kannst. Du hast genug Zeit und Kapazität für zusätzliche Arbeit."
"Wann sollte ich Gelb wählen?","Wähle Gelb, wenn du zwischen 70-85% ausgelastet bist. Du kannst noch kleinere Aufgaben übernehmen, aber keine großen neuen Projekte. Deine Auslastung ist normal und unter Kontrolle."
"Wann sollte ich Orange wählen?","Wähle Orange, wenn du zu 85-100% ausgelastet bist und keine neuen Aufgaben mehr annehmen kannst. Du bist voll ausgelastet, aber die Situation ist noch managebar ohne Überstunden oder Stress."
"Wann sollte ich Rot wählen?","Wähle Rot, wenn du über 100% ausgelastet bist, Überstunden machst oder Deadlines gefährdet sind. Du brauchst dringend Unterstützung oder Aufgaben müssen umverteilt werden."
"Ich habe 3 große Projekte diese Woche, welche Farbe?","Wenn die 3 Projekte zusammen deine normale Arbeitszeit füllen aber machbar sind, wähle Orange. Wenn du dafür Überstunden machen musst oder Deadlines riskierst, wähle Rot."
"Ich habe nur ein kleines Projekt, welche Farbe?","Wenn das kleine Projekt weniger als 70% deiner Zeit benötigt, wähle Grün. Bei 70-85% wähle Gelb."
"Ich mache täglich 2 Stunden Überstunden, welche Farbe?","Wähle Rot. Regelmäßige Überstunden sind ein klares Zeichen für Überlastung und du brauchst Unterstützung oder Entlastung."
"Alle meine Aufgaben sind pünktlich, aber ich bin beschäftigt, welche Farbe?","Wenn du zu 70-85% ausgelastet bist, wähle Gelb. Bei 85-100% Auslastung wähle Orange. Solange keine Überstunden nötig sind und Deadlines sicher sind, ist Rot nicht nötig."
"Ich könnte mehr machen, bin aber nicht ausgelastet, welche Farbe?","Wähle Grün. Das signalisiert, dass du Kapazität für neue Aufgaben oder Projekte hast."
"Meine Deadline ist nächste Woche und ich bin gestresst, welche Farbe?","Wenn du die Deadline ohne Überstunden schaffst, wähle Orange. Wenn Überstunden oder Wochenendarbeit nötig sind, wähle Rot."
"Ich habe diese Woche Urlaub geplant, welche Farbe?","Wenn du während des Urlaubs nicht arbeitest, kannst du die Zelle leer lassen oder mit deinem Team besprechen, ob eine Sondermarkierung gewünscht ist."
"Ich bin neu im Team und habe wenig Aufgaben, welche Farbe?","Wähle Grün, auch wenn du in der Einarbeitung bist. Das zeigt, dass du bereit bist, mehr Aufgaben zu übernehmen, wenn du eingearbeitet bist."
"Kann ich meine Farbe im Nachhinein ändern?","Ja, du kannst jederzeit zurückgehen und deine Farbe für vergangene Wochen anpassen. Wähle einfach deinen Namen aus dem Dropdown und klicke auf die entsprechende Woche."
"Ich habe plötzlich ein dringendes Problem, welche Farbe?","Wenn das Problem deine geplante Arbeit gefährdet oder Überstunden verursacht, ändere sofort auf Rot, damit dein Team Bescheid weiß und Unterstützung anbieten kann."
"Was ist der Unterschied zwischen Orange und Rot in der Praxis?","Orange bedeutet: Ich bin voll, aber komme zurecht. Rot bedeutet: Ich brauche Hilfe, sonst scheitere ich. Orange ist Warnung, Rot ist Notruf."
"Mein Kollege ist Rot, was soll ich tun?","Sprich mit deinem Kollegen und biete Hilfe an, wenn du Grün oder Gelb bist. Informiere auch euren Vorgesetzten, damit Aufgaben umverteilt werden können."
"Ich bin immer Grün, ist das schlecht?","Nein, aber sprich mit deinem Team oder Vorgesetzten, ob du mehr Verantwortung übernehmen kannst. Grün signalisiert, dass du mehr leisten könntest."
"Ich schwanke zwischen Gelb und Orange, was wähle ich?","Frage dich: Kann ich noch eine kleine Aufgabe übernehmen? Ja = Gelb. Nein = Orange. Im Zweifel wähle die ehrlichere Einschätzung."
"Was wenn ich in zwei Wochen überlastet werde?","Markiere die aktuelle Woche realistisch nach deiner jetzigen Situation. Wenn du weißt, dass nächste Woche kritisch wird, kannst du bereits jetzt mit Orange warnen."
"Sollte ich vorausschauend markieren?","Ja, wenn du konkrete Informationen hast. Markiere kommende Wochen mit absehbarer hoher Auslastung bereits jetzt als Orange oder Rot, damit das Team planen kann."
"Ich arbeite Teilzeit, wie markiere ich richtig?","Beziehe deine Prozente auf deine Teilzeit-Arbeitszeit. 70% von 20 Stunden sind 14 Stunden, nicht 28. Wähle die Farbe basierend auf deiner tatsächlichen Verfügbarkeit."
"Mein Vorgesetzter gibt mir zu viele Aufgaben, welche Farbe?","Sei ehrlich und wähle die Farbe, die deine echte Situation zeigt. Rot bedeutet: Diese Arbeitslast ist nicht machbar. Das ist wichtiges Feedback für deinen Vorgesetzten."
"Niemand beachtet meine rote Markierung, was tun?","Sprich direkt mit deinem Vorgesetzten oder Team. Die Ampel ist ein Kommunikationstool, aber sie ersetzt nicht das persönliche Gespräch."
